timestamp,mc 1,mc 2,mc 3,mc 4,mc 5
13/4/2022 11:40,17.9 ,18.4 ,17.4 ,17.9 ,18.4 
13/4/2022 12:52,18.6 ,15.7 ,18.4 ,19.6 ,18.1 
13/4/2022 14:23,18.7 ,18.6 ,17.7 ,18.3 ,17.8 
13/4/2022 15:30,18.7 ,17.7 ,19.0 ,20.9 ,17.4 
13/4/2022 17:02,19.0 ,17.9 ,18.1 ,19.0 ,19.4 
13/4/2022 18:29,20.4 ,16.6 ,17.7 ,16.8 ,17.9 
13/4/2022 19:35,18.1 ,18.8 ,18.8 ,20.3 ,18.4 
13/4/2022 21:41,19.4 ,19.5 ,18.7 ,19.0 ,17.4 
13/4/2022 22:45,15.4 ,15.5 ,15.4 ,16.2 ,16.5 
13/4/2022 23:24,14.3 ,12.9 ,14.4 ,14.3 ,12.8 
14/4/2022 0:35,12.0 ,12.5 ,11.1 ,11.3 ,12.2 
14/4/2022 1:27,12.1 ,11.4 ,12.0 ,12.1 ,11.3 
14/4/2022 2:21,11.3 ,10.3 ,10.5 ,11.4 ,11.2 
14/4/2022 3:40,9.8 ,9.2 ,9.9 ,9.3 ,10.0 
14/4/2022 4:29,10.5 ,11.5 ,10.7 ,10.9 ,11.5 
14/4/2022 5:23,10.9 ,10.1 ,10.8 ,10.1 ,10.8 
